,x
TCGA-02-0047-01,0.566030187706
TCGA-02-0055-01,0.44200490872000003
TCGA-02-2483-01,0.6459209892459999
TCGA-02-2485-01,0.7983288000000001
TCGA-06-0125-01,0.770618287913
TCGA-06-0129-01,0.75612425
TCGA-06-0130-01,0.287981592046
TCGA-06-0132-01,0.322597383333
TCGA-06-0139-01,0.163315374494
TCGA-06-0141-01,0.2755873
TCGA-06-0157-01,0.728508728732
TCGA-06-0158-01,0.6726874013699999
TCGA-06-0168-01,0.5487364
TCGA-06-0174-01,0.863208669945
TCGA-06-0178-01,0.5539456369829999
TCGA-06-0184-01,0.550362116035
TCGA-06-0187-01,0.742156374147
TCGA-06-0190-01,0.402754826975
TCGA-06-0210-01,0.454464364856
TCGA-06-0211-01,0.6951137166670001
TCGA-06-0219-01,0.581312633333
TCGA-06-0238-01,0.553939451835
TCGA-06-0644-01,0.462673545641
TCGA-06-0645-01,0.5204004938579999
TCGA-06-0646-01,0.682362633333
TCGA-06-0649-01,0.503052421901
TCGA-06-0686-01,0.663000407801
TCGA-06-0743-01,0.7265876748479999
TCGA-06-0744-01,0.822977108333
TCGA-06-0745-01,0.7547834743009999
TCGA-06-0747-01,0.849357766667
TCGA-06-0749-01,0.645308726427
TCGA-06-0750-01,0.523375822598
TCGA-06-0878-01,0.628716893785
TCGA-06-0882-01,0.48286547840000005
TCGA-06-1804-01,0.7918996432879999
TCGA-06-2557-01,0.536969505194
TCGA-06-2558-01,0.728737029898
TCGA-06-2559-01,0.815086180705
TCGA-06-2561-01,0.6762439589899999
TCGA-06-2562-01,0.667189162065
TCGA-06-2563-01,0.67690935
TCGA-06-2564-01,0.6235479714
TCGA-06-2565-01,0.823856425
TCGA-06-2567-01,0.6282786
TCGA-06-2569-01,0.789248168093
TCGA-06-2570-01,0.7752859178910001
TCGA-06-5408-01,0.783338384707
TCGA-06-5410-01,0.17609911483899998
TCGA-06-5411-01,0.600883077687
TCGA-06-5412-01,0.308815136052
TCGA-06-5413-01,0.573057600189
TCGA-06-5414-01,0.565908012706
TCGA-06-5415-01,0.7796151
TCGA-06-5416-01,0.750957125
TCGA-06-5418-01,0.698252637025
TCGA-06-5856-01,0.6858423
TCGA-06-5858-01,0.6708846814280001
TCGA-06-5859-01,0.635766458522
TCGA-08-0386-01,0.779648580291
TCGA-12-0616-01,0.7122197021879999
TCGA-12-0618-01,0.884345822371
TCGA-12-0619-01,0.661670033333
TCGA-12-0821-01,0.8272919556630001
TCGA-12-3650-01,0.7958149916670001
TCGA-12-3652-01,0.8110111999999999
TCGA-12-3653-01,0.7045858360889999
TCGA-12-5295-01,0.680480075
TCGA-12-5299-01,0.7564488931710001
TCGA-14-0781-01,0.352800483333
TCGA-14-0787-01,0.771200533333
TCGA-14-0789-01,0.35840460903800003
TCGA-14-0790-01,0.84387263739
TCGA-14-0817-01,0.535611308053
TCGA-14-0871-01,0.848028602088
TCGA-14-1034-01,0.597653225
TCGA-14-1823-01,0.559981272848
TCGA-14-1825-01,0.865667175
TCGA-14-1829-01,0.527057783333
TCGA-14-2554-01,0.621473641667
TCGA-15-0742-01,0.8744846833329999
TCGA-15-1444-01,0.513668246119
TCGA-16-0846-01,0.624415908333
TCGA-16-1045-01,0.401095798875
TCGA-19-1390-01,0.800681674279
TCGA-19-1787-01,0.707139219734
TCGA-19-2619-01,0.774795489418
TCGA-19-2620-01,0.591357411716
TCGA-19-2624-01,0.8198216
TCGA-19-2625-01,0.6882304906219999
TCGA-19-2629-01,0.6102373003639999
TCGA-19-4065-01,0.5610823572079999
TCGA-19-5960-01,0.868886039038
TCGA-26-1442-01,0.677832841035
TCGA-26-5132-01,0.7592330959010001
TCGA-26-5133-01,0.8633803780760001
TCGA-26-5134-01,0.796111040018
TCGA-26-5135-01,0.7591181964720001
TCGA-26-5136-01,0.720462425
TCGA-26-5139-01,0.63241635
TCGA-27-1830-01,0.61476636448
TCGA-27-1831-01,0.5307710907150001
TCGA-27-1832-01,0.567278918502
TCGA-27-1834-01,0.569578657563
TCGA-27-1835-01,0.78316455978
TCGA-27-1837-01,0.705337215693
TCGA-27-2519-01,0.619173383333
TCGA-27-2521-01,0.833472322371
TCGA-27-2523-01,0.848221258333
TCGA-27-2524-01,0.69504779618
TCGA-27-2526-01,0.7582496666670001
TCGA-27-2528-01,0.7192520489550001
TCGA-28-1747-01,0.600387808333
TCGA-28-1753-01,0.537161020293
TCGA-28-2509-01,0.77337282742
TCGA-28-2510-01,0.463590276065
TCGA-28-2513-01,0.25924327051
TCGA-28-2514-01,0.7457815833329999
TCGA-28-5204-01,0.7890329583329999
TCGA-28-5207-01,0.71010870339
TCGA-28-5208-01,0.779391716667
TCGA-28-5209-01,0.80786296305
TCGA-28-5213-01,0.368111668856
TCGA-28-5215-01,0.6273043013530001
TCGA-28-5216-01,0.762892968708
TCGA-28-5218-01,0.5354618496760001
TCGA-28-5220-01,0.7703697408750001
TCGA-32-1970-01,0.732424524884
TCGA-32-1980-01,0.298664932289
TCGA-32-1982-01,0.54397625
TCGA-32-2615-01,0.7640977
TCGA-32-2616-01,0.7098899594020001
TCGA-32-2632-01,0.591159449835
TCGA-32-2634-01,0.841693830705
TCGA-32-4213-01,0.50694815
TCGA-32-5222-01,0.66239942212
TCGA-41-2571-01,0.6969418666670001
TCGA-41-2572-01,0.673353881348
TCGA-41-3915-01,0.5446503543729999
TCGA-41-4097-01,0.47008261666699996
TCGA-41-5651-01,0.830443109188
TCGA-76-4925-01,0.84653665
TCGA-76-4926-01,0.7730089916670001
TCGA-76-4928-01,0.464973800535
TCGA-76-4929-01,0.763625838855
TCGA-76-4931-01,0.856502107289
